provider,title,program,marker,state,matchone_rep,signed_date,status
JULIO RODRIGUEZ JR,MD,FFW_2.0,*,PA,Samir Thapa,2025-11-07,ACTIVE
MARCO ALCALA,MD,FFW_2.0,*,PA,Matt Royle,2023-04-05,ACTIVE
ALBERT JANERICH,MD,FFW_2.0,*,PA,Jon Janerich,2023-04-05,ACTIVE
DAVID A JANERICH,DO,FFW_2.0,*,PA,Jon Janerich,2024-08-13,ACTIVE
BENJAMIN KAPLAN,MD,FFW_2.0,*,PA,Austin Liput,2024-03-06,ACTIVE
RANDALL SMITH,MD,FFW_2.0,*,PA,Austin Liput,2024-03-06,ACTIVE
ANKUR GOSALIA,MD,FFW_2.0,*,PA,Brendon Hink,2024-11-17,ACTIVE
DAVID DECHELLIS,DO,FFW_2.0,*,PA,Brendon Hink,2024-11-17,ACTIVE
ENIOLA ADEPOJU,PA-C,FFW_2.0,*,MD,Pete Crosby,2024-11-20,ACTIVE
JIMMY BELLO,PA-C,FFW_2.0,*,MD,Pete Crosby,2024-11-20,ACTIVE
LINCOLN DOVER,?,FFW_2.0,*,MD,Pete Crosby,2024-11-20,ACTIVE
OLUBAYO OLDARA-FADARE,MD,FFW_2.0,*,IL,Pete Crosby,2024-11-20,ACTIVE
ADAM POWERS,CRNP,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
ALBERTO CABANTOG,MD,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
ALICIA JENKINS,CRNP,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
CHAD BURNS,CRNP,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
DAVID POPE,PA-C,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
GREG HITES,DNP,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
JEREMIAH ALTMAN,PA-C,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
LAUREN MCDANIEL,CRNP,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
NICHOLAS KINBACK,MD,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
ROLANDO (ROLLY) GARCIA,PA-C,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
SUDHIR RAO,MD,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
SUHAS BADARINATH,MD,FFW_2.0,*,PA,Samir Thapa,2025-09-10,ACTIVE
ALEXANDER DUKE,DO,FFW_2.0,*,PA,Samir Thapa,2025-04-20,ACTIVE
ALEXANDER GARLICK,DPT,FFW_2.0,*,PA,Paul Lopiccolo,2024-10-23,ACTIVE
ALEXIS PILATO,MD,FFW_2.0,*,PA,Matt Royle,2024-08-26,ACTIVE
ATTILA NYILAS,PA-C,FFW_2.0,*,PA,Matt Royle,2023-07-02,ACTIVE
BARRY RUHT,MD,FFW_2.0,*,PA,Austin Liput,2025-10-21,ACTIVE
BENJAMIN SHULTZ,DC,FFW_2.0,*,PA,Paul Lopiccolo,2024-08-08,ACTIVE
CARMEN PETRAGLIA,MD,FFW_2.0,*,PA,Brendon Hink,2025-01-23,ACTIVE
